"WAVE_NUMBER","INTL_ECONOMICIMPACT","STATE_VEHICLES_V1","STATE_VEHICLES_V2","CARBONTAX_COST10PCT","CARBONTAX_COST15DOL","CARBONTAX_COST50DOL","CARBONTAX_SUPPORT","STATE_RPS_ECONOMY","GW_BELIEF","GW_CONCERN","BELIEVER_IMMEDIACY","GOVT_EFFECTIVENESS","GOVT_FED","STATE_NEIGHBORSACT","GASTAX_GOVT","FFTAX_GOVT","CAPTRADE_GOVT_V1","GOVT_EFFECTIVENESS_V2","STATE_RPS_V1","STATE_RPS_V2","STATE_RPS_V2_COST100","STATE_RPS_V3","STATE_RPS_V3_COST25","STATE_RPS_V3_COST50","DEMOG_EDU","DEMOG_POLVIEWS","DEMOG_RELIG","STATE_RPS_SUPPORT"
" 2016/01/01",NA,NA,NA,"(4) Strongly oppose",NA,NA,"Not willing to pay",NA,"(1) Yes","(01) Very concerned",NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(3) Moderate","(6) Other",NA
" 2009/01/01",NA,"(1) Strongly support",NA,NA,"(1) Strongly support","(1) Strongly support","Willing to pay $50/month","(1) Strongly agree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(1) Strongly agree","(2) State","(1) Federal","(1) Federal",NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(3) Some college or technical school",NA,"(2) Catholic",NA
" 2009/01/01",NA,"(2) Somewhat support",NA,NA,"(3) Somewhat oppose","(4) Strongly oppose","Not willing to pay","(2) Somewhat agree","(2) No",NA,NA,NA,"(2) Some responsibility","(2) Somewhat agree","(4) Neither","(4) Neither","(2) State",NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(3) Some college or technical school",NA,"(3) Jewish",NA
" 2009/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate",NA,"(6) Other",NA
" 2009/01/01",NA,"(3) Somewhat oppose",NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(3) Somewhat disagree","(1) Yes","(02) Somewhat concerned",NA,NA,NA,"(3) Somewhat disagree","(4) Neither","(4) Neither","(4) Neither",NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(5) Graduate or professional degree",NA,"(2) Catholic",NA
" 2009/01/01",NA,"(2) Somewhat support",NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay",NA,NA,NA,NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(4) College  graduate",NA,NA,NA
" 2009/01/01",NA,"(1) Strongly support",NA,NA,"(2) Somewhat support","(3) Somewhat oppose","Willing to pay $15/month","(2) Somewhat agree","(1) Yes","(02) Somewhat concerned",NA,NA,"(1) A great deal of responsibility","(3) Somewhat disagree","(3) Both","(3) Both","(3) Both",NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(4) College  graduate",NA,"(1) Protestant",NA
" 2009/01/01",NA,"(2) Somewhat support",NA,NA,"(1) Strongly support","(2) Somewhat support","Willing to pay $50/month","(2) Somewhat agree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(3) Somewhat disagree","(3) Both","(3) Both","(3) Both",NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(4) College  graduate",NA,"(3) Jewish",NA
" 2009/01/01",NA,"(2) Somewhat support",NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay",NA,NA,NA,NA,NA,"(1) A great deal of responsibility","(1) Strongly agree","(4) Neither","(4) Neither","(4) Neither",NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(3) Some college or technical school",NA,"(2) Catholic",NA
" 2009/01/01",NA,"(1) Strongly support",NA,NA,"(1) Strongly support","(1) Strongly support","Willing to pay $50/month","(2) Somewhat agree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(4) Strongly disagree","(3) Both","(3) Both","(3) Both",NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(5) Graduate or professional degree",NA,"(7) Atheist",NA
" 2009/01/01",NA,"(3) Somewhat oppose",NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(1) Strongly agree","(2) No",NA,NA,NA,"(1) A great deal of responsibility","(4) Strongly disagree","(4) Neither","(4) Neither","(4) Neither",NA,NA,"(2) Somewhat support",NA,NA,NA,NA,NA,NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school",NA,"(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school",NA,"(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree",NA,"(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree",NA,"(6) Other",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate",NA,"(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate",NA,"(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school",NA,"(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(3) Somewhat oppose","(3) Somewhat oppose","Not willing to pay","(3) Somewhat disagree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(2) Somewhat agree","(4) Neither","(4) Neither","(4) Neither",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,"(3) Somewhat oppose","(4) Strongly oppose","Not willing to pay","(2) Somewhat agree","(1) Yes","(03) Not too concerned",NA,NA,"(1) A great deal of responsibility","(3) Somewhat disagree","(2) State","(3) Both","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(2) Somewhat conservative","(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(3) Somewhat oppose","(3) Somewhat oppose","Not willing to pay",NA,NA,NA,NA,NA,"(1) A great deal of responsibility","(3) Somewhat disagree","(3) Both","(1) Federal","(1) Federal",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(1) Very conservative","(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(4) Strongly disagree",NA,NA,NA,NA,"(1) A great deal of responsibility","(2) Somewhat agree","(3) Both","(3) Both","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(2) Somewhat conservative","(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(4) Strongly disagree","(2) No",NA,NA,NA,"(2) Some responsibility","(2) Somewhat agree","(4) Neither","(4) Neither","(4) Neither",NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(2) Somewhat conservative","(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,"(3) Somewhat oppose","(3) Somewhat oppose","Not willing to pay","(2) Somewhat agree","(1) Yes","(01) Very concerned",NA,NA,"(2) Some responsibility","(4) Strongly disagree","(1) Federal","(1) Federal","(4) Neither",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(1) Very conservative","(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(2) Somewhat agree","(2) No",NA,NA,NA,"(2) Some responsibility","(4) Strongly disagree","(4) Neither","(1) Federal","(1) Federal",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(1) Very conservative","(6) Other",NA
" 2010/01/01",NA,NA,NA,NA,"(1) Strongly support","(2) Somewhat support","Willing to pay $50/month","(1) Strongly agree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(4) Strongly disagree","(3) Both","(3) Both","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(4) Somewhat liberal","(6) Other",NA
" 2010/01/01",NA,NA,NA,NA,"(1) Strongly support","(1) Strongly support","Willing to pay $50/month","(1) Strongly agree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(3) Somewhat disagree","(3) Both","(3) Both","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(4) Somewhat liberal","(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,"(3) Somewhat oppose","(3) Somewhat oppose","Not willing to pay",NA,"(2) No",NA,NA,NA,"(3) No responsibility","(2) Somewhat agree","(3) Both","(4) Neither","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(2) Somewhat support","(3) Somewhat oppose","Willing to pay $15/month","(3) Somewhat disagree",NA,NA,NA,NA,"(2) Some responsibility","(2) Somewhat agree","(3) Both","(3) Both","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(3) Moderate","(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,"(1) Strongly support","(1) Strongly support","Willing to pay $50/month",NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(2) Some responsibility","(3) Somewhat disagree","(3) Both","(1) Federal","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,"(2) Somewhat support","(3) Somewhat oppose","Willing to pay $15/month","(3) Somewhat disagree","(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility","(4) Strongly disagree","(1) Federal","(3) Both","(4) Neither",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(5) Very liberal","(6) Other",NA
" 2010/01/01",NA,NA,NA,NA,"(3) Somewhat oppose","(3) Somewhat oppose","Not willing to pay","(1) Strongly agree","(1) Yes","(02) Somewhat concerned",NA,NA,"(2) Some responsibility","(1) Strongly agree","(4) Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(3) Moderate","(1) Protestant",NA
" 2010/01/01",NA,NA,NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(2) Somewhat agree","(2) No",NA,NA,NA,"(3) No responsibility","(2) Somewhat agree","(4) Neither","(4) Neither","(4) Neither",NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(2) Catholic",NA
" 2010/01/01",NA,NA,NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay",NA,NA,NA,NA,NA,"(1) A great deal of responsibility","(4) Strongly disagree","(4) Neither","(2) State","(4) Neither",NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(3) Moderate","(6) Other",NA
" 2010/01/01",NA,NA,NA,NA,"(4) Strongly oppose","(4) Strongly oppose","Not willing to pay","(2) Somewhat agree","(2) No",NA,NA,NA,"(1) A great deal of responsibility","(1) Strongly agree","(3) Both","(3) Both","(3) Both",NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(6) Other",NA
" 2017/01/01",NA,"(4) Strongly oppose",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(2) Catholic",NA
" 2017/01/01","(4) Strongly disagree","(2) Somewhat support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(5) Graduate or professional degree","(5) Very liberal","(1) Protestant",NA
" 2017/01/01","(2) Somewhat agree","(1) Strongly support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(3) Some college or technical school","(2) Somewhat conservative",NA,NA
" 2017/01/01","(4) Strongly disagree","(2) Somewhat support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(2) High school graduate","(1) Very conservative","(2) Catholic",NA
" 2008/01/01",NA,"(1) Strongly support","(1) Strongly support",NA,NA,NA,NA,"(1) Strongly agree","(1) Yes",NA,"(1) Yes",NA,"(1) A great deal of responsibility","(3) Somewhat disagree",NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,NA,"(4) College  graduate",NA,NA,NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(3) Moderate","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(2) Somewhat conservative","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(4) Somewhat liberal","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(5) Very liberal","(7) Atheist",NA
" 2013/01/01",NA,NA,NA,NA,"(1) Strongly support",NA,"Willing to pay $15/month","(1) Strongly agree","(1) Yes",NA,NA,NA,NA,"(4) Strongly disagree",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(1) Protestant",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(3) Moderate","(1) Protestant",NA
" 2014/01/01",NA,NA,NA,"(2) Somewhat support",NA,NA,"Willing to pay Revenue Neutral",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(4) Somewhat liberal","(1) Protestant",NA
" 2013/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,"(3) Somewhat disagree",NA,NA,NA,NA,"(2) Somewhat support",NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(2) Somewhat conservative","(6) Other",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(1) Protestant",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(4) Somewhat liberal","(2) Catholic",NA
" 2013/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,"(3) Somewhat disagree",NA,NA,NA,NA,"(2) Somewhat support",NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(1) Protestant",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(1) Protestant",NA
" 2015/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(5) Hindu",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate",NA,"(6) Other",NA
" 2017/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(5) Very liberal","(7) Atheist",NA
" 2015/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) Somewhat agree","(2) Somewhat agree","(3) Somewhat disagree","(5) Graduate or professional degree","(2) Somewhat conservative","(2) Catholic","Willing to pay $25/month"
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(5) Very liberal","(6) Other",NA
" 2016/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,"(3) No responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(2) Somewhat conservative","(2) Catholic",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate",NA,NA,NA
" 2016/01/01",NA,NA,NA,"(2) Somewhat support",NA,NA,"Willing to pay Revenue Neutral",NA,"(1) Yes","(01) Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(1) Very conservative","(1) Protestant",NA
" 2013/01/01",NA,NA,NA,NA,"(4) Strongly oppose",NA,"Not willing to pay",NA,"(2) No","(04) Not concerned at all",NA,NA,NA,"(1) Strongly agree",NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(4) College  graduate","(3) Moderate","(1) Protestant",NA
" 2013/01/01",NA,NA,NA,NA,"(4) Strongly oppose",NA,"Not willing to pay","(2) Somewhat agree",NA,"(03) Not too concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(1) Protestant",NA
" 2017/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(5) Very liberal",NA,NA
" 2014/01/01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(1) Very effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(1) Very conservative","(2) Catholic",NA
" 2015/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(1) Very conservative","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(3) Moderate","(1) Protestant",NA
" 2016/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(2) Somewhat conservative","(2) Catholic",NA
" 2014/01/01",NA,NA,NA,"(4) Strongly oppose",NA,NA,"Not willing to pay",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(3) Moderate","(1) Protestant",NA
" 2013/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,"(1) Strongly agree",NA,NA,NA,NA,"(4) Strongly oppose",NA,NA,NA,NA,NA,"(2) High school graduate","(3) Moderate","(1) Protestant",NA
" 2014/01/01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Not too effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(4) Somewhat liberal","(3) Jewish",NA
" 2014/01/01",NA,NA,NA,"(4) Strongly oppose",NA,NA,"Not willing to pay",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(2) Somewhat conservative","(2) Catholic",NA
" 2008/01/01",NA,"(2) Somewhat support","(2) Somewhat support",NA,NA,NA,NA,"(1) Strongly agree","(2) No",NA,NA,NA,"(1) A great deal of responsibility","(3) Somewhat disagree",NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,NA,"(4) College  graduate",NA,"(2) Catholic",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(4) Somewhat liberal",NA,NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(4) Somewhat liberal","(1) Protestant",NA
" 2016/01/01",NA,NA,NA,"(1) Strongly support",NA,NA,"Willing to pay Revenue Neutral",NA,"(1) Yes","(01) Very concerned",NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(3) Moderate","(2) Catholic",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(4) Somewhat liberal","(2) Catholic",NA
" 2015/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) Somewhat agree","(3) Somewhat disagree","(2) High school graduate","(1) Very conservative","(2) Catholic","Willing to pay $25/month"
" 2017/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(1) Very conservative","(6) Other",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(3) Moderate","(2) Catholic",NA
" 2014/01/01",NA,NA,NA,"(3) Somewhat oppose",NA,NA,"Not willing to pay",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(2) Somewhat conservative","(2) Catholic",NA
" 2013/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) Strongly oppose",NA,NA,NA,NA,NA,"(2) High school graduate","(3) Moderate","(2) Catholic",NA
" 2016/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(2) High school graduate","(4) Somewhat liberal","(1) Protestant",NA
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","(4) Somewhat liberal","(2) Catholic",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","(3) Moderate","(1) Protestant",NA
" 2009/01/01",NA,"(2) Somewhat support",NA,NA,"(3) Somewhat oppose","(3) Somewhat oppose","Not willing to pay","(2) Somewhat agree",NA,NA,NA,NA,"(3) No responsibility",NA,"(4) Neither","(4) Neither","(4) Neither",NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(5) Graduate or professional degree",NA,"(1) Protestant",NA
" 2012/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(02) Somewhat concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(3) Moderate","(1) Protestant",NA
" 2016/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","(5) Very liberal","(1) Protestant",NA
